paper_id;reviewer_id;decision
21;9742916;0
22;9742913;1
22;9742929;0
22;9742923;0
22;9742919;0
22;9742918;1
22;9742924;1
22;9742921;1
23;9742907;0
23;9742924;0
23;9742922;0
23;9742915;0
23;9742916;1
23;9742914;0
23;9742910;0
24;9742926;0
24;9742928;0
24;9742914;0
24;9742925;1
24;9742913;1
24;9742919;0
24;9742921;0
25;9742915;1
25;9742910;1
25;9742918;1
25;9742923;0
25;9742908;0
25;9742928;0
25;9742912;0
26;9742917;0
26;9742907;1
26;9742908;1
26;9742921;1
26;9742920;1
26;9742911;0
26;9742915;1
27;9742923;1
27;9742929;0
27;9742921;1
27;9742915;0
27;9742909;0
27;9742927;0
27;9742910;1
28;9742911;1
28;9742928;0
28;9742915;1
28;9742909;1
28;9742910;0
29;9742928;1
29;9742917;1
29;9742929;1
29;9742922;1
29;9742913;0
29;9742907;1
29;9742920;0
30;9742910;0
30;9742924;0
30;9742929;1
30;9742920;0
30;9742928;0
30;9742917;1
30;9742908;1
31;9742929;1
31;9742915;1
31;9742909;1
31;9742912;1
31;9742920;1
31;9742910;1
31;9742922;0
32;9742908;0
32;9742922;1
32;9742911;0
32;9742907;0
32;9742909;0
32;9742923;1
32;9742912;0
33;9742916;0
33;9742913;1
33;9742909;1
33;9742917;1
33;9742910;1
33;9742907;1
33;9742918;1
34;9742914;1
34;9742913;1
34;9742911;1
34;9742917;0
34;9742909;0
34;9742918;1
34;9742926;1
35;9742922;0
35;9742920;0
35;9742916;0
35;9742914;0
35;9742909;1
35;9742907;0
35;9742911;0
36;9742914;1
36;9742924;1
36;9742909;0
36;9742912;1
36;9742919;0
36;9742913;0
36;9742925;1
37;9742912;0
37;9742918;0
37;9742917;0
37;9742925;1
37;9742911;0
37;9742915;1
37;9742920;1
38;9742921;1
38;9742910;1
38;9742908;1
38;9742929;1
38;9742917;1
38;9742911;1
38;9742924;1
39;9742921;0
39;9742908;0
39;9742916;0
39;9742910;1
39;9742914;0
39;9742922;1
39;9742924;1
40;9742910;0
40;9742911;0
40;9742929;1
40;9742907;0
40;9742915;1
41;9742910;1
41;9742920;1
41;9742914;1
41;9742919;0
41;9742908;0
41;9742927;0
41;9742928;0
42;9742928;0
42;9742912;0
42;9742919;1
42;9742929;0
42;9742915;1
42;9742925;0
42;9742911;1
43;9742916;0
43;9742926;1
43;9742925;0
43;9742919;0
43;9742907;0
43;9742917;1
43;9742921;1
44;9742910;1
44;9742911;0
44;9742920;1
44;9742915;0
44;9742923;0
44;9742907;0
44;9742928;0
45;9742907;1
45;9742922;0
45;9742912;0
45;9742924;1
45;9742914;1
45;9742929;0
45;9742908;0
46;9742909;1
46;9742922;1
46;9742907;0
46;9742910;0
46;9742916;0
46;9742928;0
46;9742913;0
47;9742910;0
47;9742923;0
47;9742925;1
47;9742921;1
47;9742924;0
47;9742909;0
47;9742917;1
48;9742908;1
48;9742907;1
48;9742912;0
48;9742923;0
48;9742914;0
49;9742926;0
49;9742919;1
49;9742909;0
49;9742925;1
49;9742911;0
49;9742914;1
49;9742913;0
50;9742914;0
50;9742908;1
50;9742922;0
50;9742909;0
50;9742916;0
50;9742920;0
50;9742923;0
51;9742924;0
51;9742922;1
51;9742927;1
51;9742929;0
51;9742916;1
51;9742913;0
51;9742908;1
52;9742924;0
52;9742913;1
52;9742928;0
52;9742921;1
52;9742911;1
52;9742919;0
52;9742914;0
53;9742918;1
53;9742920;0
53;9742929;0
53;9742907;0
53;9742925;1
53;9742917;1
53;9742924;1
54;9742926;0
54;9742913;1
54;9742922;0
54;9742927;0
54;9742928;0
54;9742907;1
54;9742920;0
55;9742914;1
55;9742913;0
55;9742909;1
55;9742908;1
55;9742907;1
55;9742928;1
55;9742916;0
56;9742907;0
56;9742924;1
56;9742908;0
56;9742913;0
56;9742923;1
56;9742919;1
56;9742910;0
57;9742927;0
57;9742910;0
57;9742915;0
57;9742907;0
57;9742922;1
57;9742918;1
57;9742914;1
58;9742914;1
58;9742921;0
58;9742918;0
58;9742928;0
58;9742912;1
58;9742922;0
58;9742925;1
59;9742910;1
59;9742927;0
59;9742922;1
59;9742911;0
59;9742923;0
60;9742925;0
60;9742927;0
60;9742910;0
60;9742919;1
60;9742917;1
60;9742913;1
60;9742922;0
61;9742929;0
61;9742924;0
61;9742908;1
61;9742913;1
61;9742914;1
61;9742907;1
61;9742909;1
62;9742920;0
62;9742912;1
62;9742915;1
62;9742927;1
62;9742914;1
62;9742928;0
62;9742921;1
63;9742916;0
63;9742921;1
63;9742915;0
63;9742929;0
63;9742909;0
63;9742922;0
63;9742908;1
64;9742908;1
64;9742909;0
64;9742924;0
64;9742914;0
64;9742920;1
64;9742915;0
64;9742919;0
65;9742920;1
65;9742925;0
65;9742916;1
65;9742929;0
65;9742921;0
66;9742915;0
66;9742928;0
66;9742909;1
66;9742926;1
66;9742913;0
66;9742914;1
66;9742929;0
67;9742928;0
67;9742918;1
67;9742909;1
67;9742912;1
67;9742919;0
67;9742908;1
67;9742922;1
68;9742910;0
68;9742922;1
68;9742924;0
68;9742911;0
68;9742919;1
68;9742921;0
68;9742929;1
69;9742909;1
69;9742914;1
69;9742928;0
69;9742916;1
69;9742922;1
69;9742924;1
70;9742923;1
70;9742909;1
70;9742925;0
70;9742926;1
70;9742920;1
70;9742915;0
70;9742911;0
71;9742918;1
71;9742922;0
71;9742920;1
71;9742929;0
71;9742913;0
71;9742921;1
71;9742911;1
72;9742909;0
72;9742914;1
72;9742915;0
72;9742922;1
72;9742918;1
72;9742908;0
72;9742924;1
73;9742913;1
73;9742920;0
73;9742909;1
73;9742914;1
73;9742908;0
73;9742911;1
73;9742916;1
74;9742910;1
74;9742922;0
74;9742919;0
74;9742929;0
74;9742921;1
74;9742916;0
75;9742927;1
75;9742929;0
75;9742917;1
75;9742924;1
75;9742907;1
75;9742926;1
76;9742914;0
76;9742908;1
76;9742926;1
76;9742929;1
76;9742918;0
76;9742916;0
76;9742915;0
77;9742911;1
77;9742907;1
77;9742915;1
77;9742929;0
77;9742923;1
77;9742916;0
77;9742919;1
78;9742924;1
78;9742912;1
78;9742919;1
78;9742909;1
78;9742925;1
78;9742910;0
78;9742917;0
79;9742923;1
79;9742908;0
79;9742916;1
79;9742925;1
79;9742909;1
79;9742911;1
79;9742910;0
80;9742923;1
80;9742917;0
80;9742914;0
80;9742907;0
80;9742918;0
80;9742925;0
80;9742921;0
81;9742924;1
81;9742925;0
81;9742919;0
81;9742928;1
81;9742913;0
81;9742922;1
81;9742912;0
82;9742909;1
82;9742914;0
82;9742915;1
82;9742911;1
82;9742920;1
82;9742917;1
82;9742919;0
83;9742926;1
83;9742913;0
83;9742919;0
83;9742921;0
83;9742912;0
83;9742907;1
83;9742917;1
84;9742919;1
84;9742922;0
84;9742920;0
84;9742925;0
84;9742909;1
85;9742908;1
85;9742907;1
85;9742923;0
85;9742911;0
85;9742924;1
85;9742920;1
85;9742914;0
86;9742918;0
86;9742922;1
86;9742907;1
86;9742910;1
86;9742927;0
86;9742925;0
86;9742909;0
87;9742928;0
87;9742911;1
87;9742919;0
87;9742927;0
87;9742915;1
87;9742917;1
87;9742912;0
88;9742929;0
88;9742926;1
88;9742927;0
88;9742925;1
88;9742922;1
88;9742912;0
88;9742918;0
89;9742908;1
89;9742915;0
89;9742929;1
89;9742923;1
89;9742918;1
89;9742916;1
89;9742909;0
90;9742917;1
90;9742911;1
90;9742921;0
90;9742919;0
90;9742910;1
90;9742913;1
90;9742916;0
91;9742916;0
91;9742908;0
91;9742914;0
91;9742913;0
91;9742918;1
91;9742912;1
91;9742917;1
92;9742916;1
92;9742918;0
92;9742910;1
92;9742907;0
92;9742921;0
92;9742908;1
92;9742927;1
93;9742914;1
93;9742918;0
93;9742928;0
93;9742915;1
93;9742925;0
94;9742912;0
94;9742925;0
94;9742914;0
94;9742915;0
94;9742926;0
94;9742910;1
94;9742908;1
95;9742924;0
95;9742911;0
95;9742912;0
95;9742926;0
95;9742909;1
95;9742913;1
95;9742907;1
96;9742921;1
96;9742929;1
96;9742916;1
96;9742912;0
96;9742923;1
96;9742920;1
96;9742917;1
97;9742916;0
97;9742910;0
97;9742926;1
97;9742923;0
97;9742921;0
97;9742918;0
97;9742907;0
98;9742923;1
98;9742912;1
98;9742920;0
98;9742924;0
98;9742916;0
98;9742908;0
98;9742919;1
99;9742926;0
99;9742928;0
99;9742909;0
99;9742912;0
99;9742925;1
100;9742919;1
100;9742926;1
100;9742907;0
100;9742914;0
100;9742910;1
100;9742911;0
100;9742918;0
101;9742928;1
101;9742911;1
101;9742927;0
101;9742915;1
101;9742912;0
101;9742918;0
101;9742920;0
102;9742915;0
102;9742928;1
102;9742908;0
102;9742926;0
102;9742913;1
102;9742914;1
102;9742919;1
103;9742929;1
103;9742921;0
103;9742924;1
103;9742916;0
103;9742917;1
103;9742915;1
103;9742920;0
104;9742927;1
104;9742918;1
104;9742922;1
104;9742911;1
104;9742923;0
104;9742928;0
105;9742929;0
105;9742920;0
105;9742910;0
105;9742908;1
105;9742925;1
105;9742916;0
106;9742916;0
106;9742919;0
106;9742915;0
106;9742924;0
106;9742908;1
106;9742928;0
106;9742907;0
107;9742907;0
107;9742908;0
107;9742913;1
107;9742928;0
107;9742916;1
107;9742910;0
107;9742918;0
108;9742928;1
108;9742912;1
108;9742907;0
108;9742915;0
108;9742910;1
108;9742922;0
108;9742927;0
109;9742929;1
109;9742919;1
109;9742923;0
109;9742913;1
109;9742917;1
109;9742915;0
109;9742909;1
110;9742911;0
110;9742923;0
110;9742912;1
110;9742929;1
110;9742927;1
110;9742908;1
110;9742924;1
111;9742914;1
111;9742922;1
111;9742913;0
111;9742910;1
111;9742921;1
111;9742929;1
111;9742927;1
112;9742923;1
112;9742912;1
112;9742928;0
112;9742916;0
112;9742907;0
112;9742920;1
112;9742915;1
113;9742928;1
113;9742920;1
113;9742921;1
113;9742923;0
113;9742922;0
113;9742912;1
113;9742918;1
114;9742927;0
114;9742926;1
114;9742912;0
114;9742914;1
115;9742908;0
115;9742914;1
115;9742924;1
115;9742925;0
115;9742913;0
115;9742919;1
115;9742920;0
116;9742929;0
116;9742927;0
116;9742907;1
116;9742923;0
116;9742918;1
116;9742921;1
116;9742909;0
117;9742912;1
117;9742916;1
117;9742927;0
117;9742915;0
117;9742925;0
117;9742907;1
117;9742923;1
118;9742909;1
118;9742925;1
118;9742917;1
118;9742928;0
118;9742920;1
118;9742907;0
118;9742929;0
119;9742925;1
119;9742927;1
119;9742920;0
119;9742908;1
119;9742922;1
119;9742923;1
119;9742918;0
120;9742910;1
120;9742929;0
120;9742924;1
120;9742926;0
120;9742917;1
120;9742928;0
120;9742925;1
121;9742922;0
121;9742917;1
121;9742908;1
121;9742911;0
121;9742912;0
121;9742918;0
121;9742925;0
122;9742909;1
122;9742910;1
122;9742920;1
122;9742911;0
122;9742929;1
123;9742912;0
123;9742913;0
123;9742924;1
123;9742925;0
123;9742910;1
123;9742922;1
123;9742907;0
124;9742929;0
124;9742914;1
124;9742908;1
124;9742912;1
124;9742920;1
124;9742909;0
124;9742917;1
125;9742922;1
125;9742911;0
125;9742913;1
125;9742923;1
125;9742919;1
125;9742921;1
125;9742907;1
126;9742925;0
126;9742926;1
126;9742920;0
126;9742923;0
126;9742907;1
126;9742922;0
127;9742912;0
127;9742918;1
127;9742908;1
127;9742910;1
127;9742916;1
127;9742925;0
127;9742911;1
128;9742924;1
128;9742920;0
128;9742910;0
128;9742915;0
128;9742925;1
128;9742912;0
128;9742917;0
129;9742919;1
129;9742929;1
129;9742918;1
129;9742917;0
129;9742928;0
129;9742921;1
129;9742910;0
130;9742919;0
130;9742910;1
130;9742911;1
130;9742925;0
130;9742929;0
130;9742907;0
131;9742923;1
131;9742918;1
131;9742920;1
131;9742928;0
131;9742911;1
131;9742921;0
132;9742908;1
132;9742911;1
132;9742921;0
132;9742917;1
132;9742923;0
132;9742912;0
132;9742916;0
133;9742916;1
133;9742915;1
133;9742911;1
133;9742918;0
133;9742921;1
133;9742908;0
133;9742924;0
134;9742920;0
134;9742912;1
134;9742929;1
134;9742926;1
134;9742921;1
135;9742908;0
135;9742921;1
135;9742907;1
135;9742909;1
135;9742913;0
135;9742910;1
135;9742916;0
136;9742920;0
136;9742917;1
136;9742908;0
136;9742923;0
136;9742911;1
136;9742914;1
136;9742916;0
137;9742917;0
137;9742928;1
137;9742921;0
137;9742918;0
138;9742929;1
138;9742920;0
138;9742919;1
138;9742913;0
138;9742912;0
138;9742908;1
138;9742911;1
139;9742922;0
139;9742915;1
139;9742910;1
139;9742907;1
139;9742916;0
139;9742911;1
139;9742929;0
140;9742914;1
140;9742908;0
140;9742920;0
140;9742913;1
140;9742921;0
140;9742922;0
140;9742910;0
141;9742924;1
141;9742913;0
141;9742916;1
141;9742919;0
141;9742911;0
142;9742910;1
142;9742922;0
142;9742917;1
142;9742912;0
142;9742927;1
142;9742929;0
143;9742923;1
143;9742914;0
143;9742915;0
143;9742929;0
143;9742910;0
143;9742918;1
144;9742916;1
144;9742929;0
144;9742919;0
144;9742915;0
144;9742922;0
144;9742927;0
145;9742918;0
145;9742922;0
145;9742916;1
145;9742913;1
145;9742924;0
145;9742919;1
145;9742929;0
146;9742929;0
146;9742927;0
146;9742922;1
146;9742915;0
147;9742916;0
147;9742907;1
147;9742928;0
147;9742923;1
147;9742929;0
147;9742913;1
147;9742919;0
148;9742919;1
148;9742918;0
148;9742916;1
148;9742928;0
148;9742911;1
149;9742923;0
149;9742908;1
149;9742914;0
149;9742922;1
149;9742909;0
149;9742924;0
149;9742907;0
150;9742922;0
150;9742919;0
150;9742928;0
150;9742907;1
150;9742917;1
150;9742912;1
150;9742913;1
151;9742921;1
151;9742914;1
151;9742922;0
151;9742920;1
151;9742913;1
151;9742916;0
151;9742925;1
152;9742925;1
152;9742915;1
152;9742929;1
152;9742911;1
152;9742923;1
152;9742921;1
152;9742927;1
153;9742918;0
153;9742908;0
153;9742924;1
153;9742925;0
153;9742909;0
153;9742917;1
153;9742912;0
154;9742924;0
154;9742912;0
154;9742911;1
154;9742922;1
154;9742919;0
154;9742921;1
154;9742929;0
155;9742920;0
155;9742928;1
155;9742912;1
155;9742909;1
155;9742922;1
155;9742911;0
155;9742926;1
156;9742912;1
156;9742920;1
156;9742919;0
156;9742922;1
157;9742909;0
157;9742911;0
157;9742916;0
157;9742921;0
157;9742914;0
157;9742910;0
157;9742920;0
158;9742923;0
158;9742919;0
158;9742912;0
158;9742909;0
158;9742917;1
158;9742929;1
158;9742921;0
159;9742908;1
159;9742921;0
159;9742924;0
159;9742912;0
159;9742914;1
159;9742928;0
159;9742913;1
160;9742920;1
160;9742910;0
160;9742923;0
160;9742915;1
160;9742907;0
160;9742913;0
160;9742924;1
161;9742921;0
161;9742917;1
161;9742920;0
161;9742918;1
162;9742928;1
162;9742916;1
162;9742917;1
162;9742913;1
162;9742915;0
162;9742914;1
162;9742910;1
163;9742911;0
163;9742919;0
163;9742925;0
163;9742910;1
163;9742928;0
163;9742912;0
163;9742915;0
164;9742915;1
164;9742928;1
164;9742929;1
164;9742920;1
164;9742913;0
165;9742919;0
165;9742923;0
165;9742907;0
165;9742910;1
165;9742909;0
165;9742928;1
165;9742922;0
166;9742910;0
166;9742920;1
166;9742915;0
166;9742924;1
166;9742925;0
167;9742922;1
167;9742926;1
167;9742915;0
167;9742912;1
167;9742913;0
167;9742929;1
167;9742919;1
168;9742924;0
168;9742920;0
168;9742927;1
168;9742929;1
168;9742910;1
168;9742919;1
168;9742922;0
169;9742913;1
169;9742922;0
169;9742914;1
169;9742923;0
169;9742915;0
169;9742929;0
169;9742921;1
